observation_date,CSUSHPISA
2016-03-01,178.15200000000002
2016-04-01,178.75599999999997
2016-05-01,179.41600000000000
2016-06-01,180.08099999999999
2016-07-01,180.84200000000001
2016-08-01,181.83000000000001
2016-09-01,182.80400000000000
2016-10-01,183.73300000000000
2016-11-01,184.74299999999999
2016-12-01,185.70800000000000
2017-01-01,186.78599999999997
2017-02-01,187.30500000000001
2017-03-01,187.98200000000000
2017-04-01,188.71199999999999
2017-05-01,189.59999999999999
2017-06-01,190.49900000000000
2017-07-01,191.44800000000001
2017-08-01,192.63700000000000
2017-09-01,193.73200000000000
2017-10-01,194.78100000000001
2017-11-01,195.93400000000003
2017-12-01,197.15700000000001
2018-01-01,198.29499999999999
2018-02-01,199.22399999999999
2018-03-01,199.96100000000001
2018-04-01,200.65199999999999
2018-05-01,201.41399999999999
2018-06-01,202.21700000000001
2018-07-01,202.89400000000001
2018-08-01,203.65400000000000
2018-09-01,204.31000000000000
2018-10-01,205.07200000000000
2018-11-01,205.64500000000001
2018-12-01,206.13600000000000
2019-01-01,206.52600000000001
2019-02-01,206.84899999999999
2019-03-01,207.07200000000000
2019-04-01,207.52799999999999
2019-05-01,208.14400000000001
2019-06-01,208.61600000000001
2019-07-01,209.22200000000001
2019-08-01,210.02400000000000
2019-09-01,210.82700000000000
2019-10-01,211.71899999999999
2019-11-01,212.75800000000001
2019-12-01,213.93000000000001
2020-01-01,215.02500000000001
2020-02-01,215.88700000000000
2020-03-01,216.44000000000000
2020-04-01,216.84000000000000
2020-05-01,216.97700000000000
2020-06-01,217.54200000000000
2020-07-01,219.25000000000000
2020-08-01,222.26499999999999
2020-09-01,225.71000000000001
2020-10-01,229.65000000000001
2020-11-01,233.21899999999999
2020-12-01,236.53299999999999
2021-01-01,239.69000000000000
2021-02-01,242.42599999999999
2021-03-01,245.50899999999999
2021-04-01,249.07800000000000
2021-05-01,253.34299999999999
2021-06-01,258.17900000000003
2021-07-01,262.55400000000003
2021-08-01,266.59899999999999
2021-09-01,270.15100000000001
2021-10-01,273.56700000000001
2021-11-01,277.28600000000000
2021-12-01,281.47900000000004
2022-01-01,286.21899999999999
2022-02-01,291.26700000000000
2022-03-01,296.45599999999996
2022-04-01,300.47000000000003
2022-05-01,303.50400000000002
2022-06-01,304.31999999999999
2022-07-01,303.39400000000001
2022-08-01,301.06299999999999
2022-09-01,299.02699999999999
2022-10-01,298.69299999999998
2022-11-01,298.41700000000003
2022-12-01,297.64900000000000
2023-01-01,297.56900000000002
2023-02-01,297.95799999999997
2023-03-01,298.95799999999997
2023-04-01,300.34500000000003
2023-05-01,302.41100000000000
2023-06-01,304.39999999999998
2023-07-01,306.59800000000001
2023-08-01,309.14400000000001
2023-09-01,311.18099999999998
2023-10-01,313.11300000000000
2023-11-01,313.99000000000001
2023-12-01,314.69200000000001
2024-01-01,316.08699999999999
2024-02-01,317.54700000000003
2024-03-01,318.49200000000002
2024-04-01,319.45499999999998
2024-05-01,320.41000000000003
2024-06-01,320.98400000000004
2024-07-01,321.66800000000001
2024-08-01,322.43500000000000
2024-09-01,323.34100000000001
2024-10-01,324.45799999999997
